"track_artist","track_popularity","playlist_genre","playlist_subgenre","release_date","duration_min","danceability","energy","loudness","speechiness","acousticness","liveness","tempo"
"XYLØ",61,"pop","indie poptimism","2019-05-31",2.98305,0.835,0.505,-5.834,0.168,0.286,0.198,118.021
"Molly Hatchet",58,"rock","album rock",NA,4.98666666666667,0.273,0.821,-6.262,0.0433,0.00153,0.18,179.882
"Sangarang",38,"pop","electropop","2019-10-25",2.2914,0.715,0.773,-5.629,0.295,0.0742,0.078,89.881
"Skrillex",72,"rap","southern hip hop","2016-07-22",3.59183333333333,0.457,0.899,-2.591,0.132,0.0019,0.831,147.268
"The Autumn Defense",36,"rock","classic rock","2007-02-01",4.56645,0.594,0.541,-7.446,0.028,0.515,0.0763,72.97
"Imagine Dragons",65,"latin","latin hip hop","2012-09-04",3.164,0.635,0.926,-5.589,0.151,0.0893,0.0928,100.048
"Creedence Clearwater Revival",1,"rock","classic rock","2005-01-01",2.30088333333333,0.634,0.762,-3.917,0.0393,0.0562,0.192,132.539
"Quintino",49,"edm","big room","2019-04-22",2.67513333333333,0.771,0.95,-2.74,0.036,0.0195,0.064,128.036
"Wolfgang Gartner",39,"edm","electro house","2019-05-03",3.14978333333333,0.713,0.927,-6.088,0.486,0.00376,0.682,127.03
"J Balvin",69,"latin","latin pop","2014-09-16",3.77355,0.718,0.711,-5.746,0.11,0.157,0.1,173.916
"Twenty One Pilots",81,"pop","indie poptimism","2015-05-15",3.57511666666667,0.645,0.713,-5.355,0.0393,0.00835,0.113,74.989
"Orgânico",51,"r&b","hip pop","2019-12-17",4.26843333333333,0.782,0.724,-4.904,0.158,0.145,0.325,127.985
"Starley",27,"edm","big room","2019-11-15",3.39946666666667,0.649,0.821,-4.952,0.0472,0.017,0.0655,125.977
"The Weeknd",64,"r&b","urban contemporary","2015-08-28",4.58266666666667,0.55,0.404,-12.755,0.0398,0.441,0.11,135.016
"Lil Peep",66,"r&b","urban contemporary","2019-10-31",3.95,0.737,0.588,-4.872,0.0467,0.00269,0.276,150.936
"The Click Five",59,"rock","permanent wave","2007-06-26",3.37266666666667,0.546,0.832,-2.679,0.0247,0.000316,0.177,96.019
"The Aces",57,"pop","indie poptimism","2018-04-06",4.28358333333333,0.642,0.453,-8.333,0.0466,0.329,0.0721,82.046
"ZZ Top",46,"rock","album rock","1985-10-28",4.03888333333333,0.62,0.688,-12.892,0.0435,0.00181,0.0464,112.122
"Duke Dumont",15,"pop","indie poptimism","2014-01-01",4.75993333333333,0.653,0.756,-7.794,0.0366,0.00364,0.089,120.82
"Tony! Toni! Toné!",16,"r&b","new jack swing","2014-11-21",4.01778333333333,0.689,0.829,-7.406,0.071,0.123,0.568,106.672
"Super Yei",77,"latin","reggaeton","2018-08-04",5.12391666666667,0.656,0.662,-1.387,0.191,0.149,0.16,189.983
"Cypress Hill",38,"rap","gangster rap","1999-10-07",3.96045,0.905,0.615,-9.852,0.343,0.0287,0.0625,92.098
"Firebeatz",0,"edm","electro house","2014-06-02",3.09375,0.542,0.928,-4.402,0.0902,0.00171,0.0836,128.021
"Ariana Grande",39,"pop","post-teen pop","2018-08-17",4.09445,0.831,0.485,-6.677,0.151,0.391,0.12,80.02
"Real Estate",36,"rock","permanent wave","2011-10-18",4.86578333333333,0.407,0.765,-6.104,0.0313,0.385,0.0693,121.087
"Maxiolly",53,"latin","reggaeton","2019-11-15",3.6443,0.698,0.658,-6.428,0.105,0.052,0.144,169.979
"Lewis Capaldi",94,"edm","pop edm","2019-05-17",3.03601666666667,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891
"Hasibe",66,"latin","latin pop","2019-05-03",2.8725,0.772,0.903,-5.022,0.137,0.00626,0.0559,111.988
"Alex Ubago",51,"latin","latin pop","2019-11-29",3.58903333333333,0.746,0.63,-6.55,0.0282,0.007,0.0906,102.064
"Hyper Fenton",35,"pop","dance pop","2018-05-13",2.6796,0.772,0.837,-4.028,0.0523,0.102,0.0664,100.005
"Ofenbach",66,"pop","dance pop","2019-11-15",2.3705,0.809,0.758,-5.658,0.101,0.409,0.166,125.022
"Joan Jett & The Blackhearts",20,"rap","southern hip hop","2018-09-28",3.49133333333333,0.324,0.887,-4.512,0.0528,0.000128,0.248,112.012
"Alexis y Fido",63,"latin","reggaeton","2011-03-21",4.298,0.711,0.841,-4.775,0.0917,0.231,0.191,176.027
"machineheart",44,"pop","indie poptimism","2016-09-09",3.67061666666667,0.618,0.366,-6.725,0.0397,0.000238,0.122,93.949
"Justin Timberlake",74,"pop","post-teen pop","2002-11-04",4.80555,0.624,0.653,-6.582,0.176,0.575,0.104,73.884
"BONES",49,"rap","gangster rap","2019-05-03",2.06041666666667,0.552,0.598,-9.529,0.0983,0.000423,0.0805,77.567
"Mike Casey",35,"r&b","neo soul","2019-03-28",2.55328333333333,0.505,0.541,-12.517,0.0681,0.497,0.161,76.089
"ODESZA",43,"pop","indie poptimism","2014-10-13",4.88695,0.799,0.688,-4.485,0.0335,0.00304,0.149,115.009
"Jimmy Eat World",1,"rock","hard rock",NA,3.08533333333333,0.406,0.954,-3.609,0.106,0.00746,0.348,159.93
"Mark Ronson",46,"r&b","neo soul","2015-07-03",3.62,0.757,0.639,-7.34,0.434,0.0615,0.18,115.234
"chillwagon",43,"rap","trap","2019-08-26",2.58348333333333,0.649,0.659,-7.916,0.162,0.14,0.119,144.075
"Moonchild",50,"r&b","neo soul","2017-05-26",5.096,0.442,0.345,-12.276,0.276,0.867,0.251,82.825
"SZA",76,"r&b","urban contemporary","2017-06-09",4.53645,0.487,0.366,-9.405,0.0531,0.241,0.126,68.191
"Maurice West",38,"edm","progressive electro house","2019-10-03",4.06441666666667,0.546,0.959,-4.678,0.074,0.00833,0.287,128.054
"Bullet For My Valentine",59,"rock","hard rock","2007-06-12",5.80645,0.212,0.924,-3.349,0.135,0.000729,0.0831,162.128
"Tess Posner",37,"edm","big room","2020-01-10",3.09756666666667,0.733,0.431,-11.395,0.0538,0.0747,0.0936,82.002
"The Four Owls",44,"r&b","neo soul","2011-12-05",4.59711666666667,0.666,0.84,-5.376,0.327,0.489,0.163,86.66
"R3HAB",1,"edm","big room","2015-11-27",2.81836666666667,0.448,0.856,-3.162,0.0537,0.0211,0.2,127.977
"TaiMO",27,"rap","gangster rap","2018-01-19",3.12778333333333,0.719,0.739,-5.077,0.279,0.0849,0.125,88.441
"Kxa",37,"pop","electropop","2019-07-19",3.11838333333333,0.55,0.712,-7.553,0.0628,0.267,0.132,145.168
"Denzal Park",0,"edm","electro house","2013-03-08",5.6378,0.699,0.782,-2.757,0.0451,0.000748,0.078,126.996
"DJ Quik",45,"rap","southern hip hop",NA,4.18955,0.805,0.566,-12.604,0.177,0.055,0.582,94.65
"CHIKA",43,"rap","hip hop","2019-06-28",3.54988333333333,0.389,0.566,-8.187,0.385,0.438,0.11,65.36
"Riton",86,"edm","pop edm","2019-09-13",3.47456666666667,0.737,0.828,-4.711,0.0396,0.0149,0.0862,124.052
"Nicolas Nerva",23,"r&b","hip pop","2020-01-10",3.83826666666667,0.637,0.694,-7.933,0.26,0.522,0.223,171.79
"U2",43,"rock","permanent wave","2004-01-01",3.90021666666667,0.339,0.652,-5.732,0.0533,0.00586,0.17,124.939
"Maceo",22,"rap","southern hip hop","2005-08-23",4.68355,0.751,0.747,-4.888,0.173,0.466,0.118,150.088
"Filipe Catto",33,"latin","tropical","2017-11-24",4.27753333333333,0.59,0.501,-10.124,0.0356,0.00877,0.103,139.936
"Colony 5",0,"pop","electropop","2009-10-23",5.26933333333333,0.267,0.787,-7.766,0.0428,0.00692,0.18,130.039
"Def Leppard",68,"rock","album rock","1987-08-03",5.9106,0.659,0.846,-5.508,0.0274,0.0318,0.203,107.01
"Falco",1,"rock","album rock",NA,3.38621666666667,0.62,0.778,-11.061,0.121,0.409,0.0903,176.667
"Tevin Campbell",38,"r&b","new jack swing","2005-12-20",4.77866666666667,0.684,0.687,-6.393,0.0228,0.0631,0.0601,91.201
"Blue Öyster Cult",44,"rock","classic rock","1981-10-23",4.19066666666667,0.565,0.603,-9.533,0.0287,0.0612,0.0666,126.984
"Then Came Monsters",31,"rock","hard rock","2019-12-19",3.65681666666667,0.434,0.806,-6.614,0.0517,0.00148,0.0998,152.096
"Midnight Oil",63,"rock","classic rock","1997-10-13",4.30288333333333,0.754,0.496,-8.7,0.0351,0.00539,0.0871,119.186
"Travis Scott",94,"rap","gangster rap","2019-10-04",2.92868333333333,0.598,0.427,-8.764,0.0317,0.0546,0.21,76.469
"Juan Luis Guerra 4.40",54,"latin","tropical","2019-07-24",4.92133333333333,0.652,0.952,-6.402,0.0844,0.313,0.431,141.891
"Camilo",78,"latin","reggaeton","2019-12-20",2.64221666666667,0.675,0.36,-6.66,0.112,0.67,0.159,64.921
"Piso 21",64,"latin","latin pop","2018-05-11",3.24973333333333,0.677,0.757,-2.864,0.168,0.0449,0.117,184.119
"Zendaya",52,"pop","post-teen pop","2015-01-01",2.61155,0.688,0.774,-4.444,0.086,0.361,0.196,109.974
"Cheap Trick",11,"rock","classic rock","2007-08-21",4.23045,0.523,0.954,-7.042,0.0408,0.00554,0.755,133.829
"Hues Corporation",46,"rock","album rock","2010-02-26",3.11178333333333,0.606,0.71,-8.441,0.0739,0.328,0.115,106.918
"Dua Lipa",97,"pop","post-teen pop","2019-10-31",3.05483333333333,0.794,0.793,-4.521,0.0842,0.0125,0.0952,123.941
"Jarryd James",5,"pop","indie poptimism","2015-09-03",3.90711666666667,0.65,0.333,-9.949,0.0548,0.2,0.125,72
"Harry Nilsson",10,"rock","album rock",NA,3.36711666666667,0.441,0.212,-13.657,0.0287,0.556,0.0578,65.311
"Netsky",46,"edm","progressive electro house","2018-12-14",3.35711666666667,0.766,0.705,-5.01,0.048,0.066,0.122,112.02
"Naeleck",24,"edm","electro house","2014-12-22",4.6875,0.639,0.717,-5.479,0.18,0.00136,0.523,128.012
"Ballin Entertainment",0,"latin","latin hip hop","2008-04-20",2.7298,0.841,0.814,-9.559,0.039,0.139,0.0396,128.965
"Nicky Romero",20,"edm","progressive electro house","2014-06-13",2.93983333333333,0.405,0.936,-1.78,0.2,0.242,0.359,126.085
"Boston",11,"rock","album rock",NA,7.794,0.436,0.657,-8.868,0.0541,0.00975,0.0931,118.693
"Post Malone",88,"latin","latin pop","2018-12-14",2.634,0.76,0.479,-5.574,0.0466,0.556,0.0703,89.911
"Post Malone",98,"latin","latin hip hop","2019-09-06",3.588,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042
"Elley Duhé",57,"pop","indie poptimism","2020-01-10",3.07413333333333,0.41,0.611,-8.271,0.0467,0.0228,0.116,185.727
"Brownman Revival",51,"rock","classic rock","2005-07-25",4.39155,0.57,0.801,-7.267,0.0941,0.189,0.069,147.37
"Kaam Bhaari",53,"rap","hip hop","2019-10-05",3.23333333333333,0.696,0.759,-8.851,0.158,0.0862,0.141,120.034
"Agat",2,"rock","permanent wave","2019-11-22",3.32,0.8,0.734,-4.655,0.0706,0.131,0.0987,122.021
"New Edition",52,"r&b","new jack swing","1996-01-01",4.66111666666667,0.741,0.519,-4.683,0.0351,0.426,0.318,134.294
"Kansas",77,"rock","classic rock",NA,3.43778333333333,0.475,0.322,-10.687,0.0283,0.367,0.11,93.503
"Foster The People",83,"pop","dance pop","2011-05-23",3.99333333333333,0.733,0.71,-5.849,0.0292,0.145,0.0956,127.975
"Ballin Entertainment",0,"latin","latin hip hop","2008-04-20",2.44723333333333,0.613,0.728,-10.597,0.0679,0.00729,0.146,128.855
"Kiyotaka Sugiyama",33,"rock","album rock","1984-12-21",4.46488333333333,0.587,0.977,-3.589,0.0711,0.0353,0.536,146.518
"Young Dro",34,"rap","southern hip hop","2011-02-15",4.32355,0.684,0.496,-9.317,0.267,0.0398,0.287,75.974
"Cali Y El Dandee",70,"latin","latin hip hop","2015-09-24",4.18061666666667,0.645,0.821,-3.679,0.213,0.0492,0.193,179.968
"Portugal. The Man",81,"r&b","hip pop","2017-06-16",2.72088333333333,0.801,0.795,-5.115,0.0504,0.0417,0.0717,79.028
"Anita Baker",61,"r&b","urban contemporary","1986-01-01",4.43668333333333,0.504,0.728,-5.699,0.0234,0.36,0.159,89.255
"Van Morrison",79,"rap","southern hip hop",NA,3.05511666666667,0.491,0.583,-10.964,0.0376,0.182,0.407,150.572
"Justin Bieber",76,"pop","dance pop","2017-08-17",3.15778333333333,0.743,0.733,-5.337,0.0375,0.00402,0.304,104.977
"Kid 'N Play",23,"rap","southern hip hop",NA,3.99,0.902,0.352,-15.897,0.0912,0.00185,0.0867,134.417
"Nafthaly Ramona",45,"latin","latin hip hop","2018-08-24",2.80611666666667,0.888,0.562,-6.355,0.148,0.0666,0.0809,98.001
"Kota the Friend",47,"rap","hip hop","2019-05-01",3.4316,0.863,0.646,-7.232,0.218,0.335,0.0866,150.012
"Lil Baby",84,"rap","hip hop","2018-10-05",2.42571666666667,0.897,0.662,-6.903,0.292,0.0852,0.534,112.511
"Kaskade",44,"edm","progressive electro house","2013-07-23",3.82645,0.594,0.867,-3.049,0.0533,0.0214,0.0999,128.028
"Post Malone",74,"pop","post-teen pop","2018-04-27",3.52378333333333,0.798,0.733,-4.811,0.0476,0.265,0.114,146.046
"Celeste",62,"r&b","hip pop","2019-09-04",3.30623333333333,0.36,0.0823,-9.893,0.038,0.93,0.121,136.402
"J Balvin",82,"r&b","hip pop","2020-01-09",3.34445,0.881,0.696,-3.838,0.0797,0.137,0.0927,97.002
"Mr. Popular",33,"pop","indie poptimism","2019-12-26",2.625,0.326,0.396,-8.936,0.0324,0.862,0.109,86.943
"KALEO",76,"pop","electropop","2016-06-10",3.56178333333333,0.489,0.505,-8.022,0.117,0.579,0.104,163.255
"WildVibes",48,"edm","progressive electro house","2019-11-08",4.3927,0.598,0.762,-5.633,0.0502,0.182,0.216,128.067
"Sikdope",28,"edm","electro house","2017-03-16",3.2,0.583,0.88,-3.291,0.0391,0.00332,0.0961,150.003
"Megan Thee Stallion",77,"latin","latin pop","2020-01-10",3.32168333333333,0.785,0.753,-3.841,0.0873,0.188,0.265,94.012
"Foreign Air",49,"pop","indie poptimism","2019-02-01",3.71266666666667,0.229,0.915,-4.939,0.0762,0.0103,0.104,177.989
"Tujamo",42,"edm","progressive electro house","2019-01-18",2.22221666666667,0.703,0.973,-3.494,0.0706,0.0132,0.0272,125.969
"Sheyna",37,"edm","pop edm","2019-11-22",2.91778333333333,0.54,0.669,-5.834,0.0421,0.11,0.0883,123.818
"Maroon 5",80,"pop","post-teen pop","2015-05-15",3.92488333333333,0.748,0.788,-7.055,0.0334,0.0591,0.0863,120.076
"Maître Gims",61,"latin","latin hip hop","2019-07-05",2.92155,0.731,0.828,-3.652,0.0914,0.0153,0.406,101.071
"Lucky Luke",55,"edm","electro house","2017-11-28",3.96241666666667,0.739,0.89,-7.174,0.188,0.0207,0.204,125.043
"CloutBag",33,"r&b","hip pop","2019-09-02",1.8007,0.688,0.578,-3.567,0.0697,0.000791,0.349,129.428
"Sydney",3,"rock","permanent wave","2019-10-25",3.76761666666667,0.447,0.492,-11.09,0.0296,0.369,0.112,99.979
"Rim'K",0,"r&b","urban contemporary","2016-01-15",2.98511666666667,0.789,0.629,-4.941,0.0618,0.154,0.0864,123.95
"Bastille",66,"pop","post-teen pop","2018-05-09",3.36331666666667,0.504,0.821,-3.356,0.0598,0.275,0.0418,155.131
"Twenty One Pilots",81,"edm","pop edm","2016-06-16",3.26533333333333,0.732,0.396,-9.348,0.0286,0.0841,0.105,90.024
"Kaskade",51,"pop","dance pop","2019-09-12",3.27688333333333,0.679,0.786,-6.918,0.132,0.119,0.224,126.092
"John Lennon",53,"rock","album rock","1970-12-11",4.21288333333333,0.64,0.269,-13.435,0.0388,0.231,0.116,112.801
"nourii",48,"latin","tropical","2019-07-05",2.97608333333333,0.711,0.689,-6.435,0.0581,0.107,0.0768,114.975
"The Cure",68,"rock","permanent wave","1985-08-26",3.38778333333333,0.724,0.523,-11.139,0.116,0.0745,0.0811,185.075
"X-Change",45,"edm","pop edm","2019-10-31",3.21045,0.724,0.866,-3.293,0.0317,0.00126,0.346,123.968
"Alesso",73,"pop","electropop","2015-05-26",3.50021666666667,0.503,0.748,-4.124,0.0619,0.0305,0.343,125.896
"Kllo",55,"edm","progressive electro house","2016-11-15",6.26798333333333,0.83,0.403,-11.361,0.0451,0.136,0.109,124.001
"Billie Eilish",95,"pop","dance pop","2019-03-29",3.2348,0.701,0.425,-10.965,0.375,0.328,0.1,135.128
"Melanie Faye",53,"r&b","neo soul","2019-02-01",4.02671666666667,0.713,0.387,-15.257,0.0356,0.0539,0.0732,129.908
"Dj Guuga",78,"edm","pop edm","2019-06-11",2.24615,0.843,0.925,0.302,0.0997,0.139,0.109,159.926
"French Braids",16,"edm","big room","2019-10-18",3.6,0.706,0.535,-11.053,0.275,0.431,0.104,110.861
"The Weeknd",93,"r&b","urban contemporary","2019-11-27",3.33466666666667,0.531,0.75,-5.831,0.111,0.00632,0.117,169.954
"Løyd",34,"latin","latin pop","2019-10-25",3.28,0.572,0.641,-5.892,0.0547,0.0151,0.0973,90.069
"Jasmine Ortiz",47,"latin","reggaeton","2018-10-19",4.00031666666667,0.781,0.62,-6.351,0.0477,0.655,0.196,85.018
"P!nk",65,"pop","dance pop","2017-08-10",4.52533333333333,0.386,0.594,-6.186,0.0565,0.0254,0.0873,113.843
"Hot Since 82",46,"edm","progressive electro house","2018-06-28",4.59676666666667,0.738,0.851,-6.573,0.0391,0.00104,0.43,123.998
"Alien Family",0,"r&b","urban contemporary","2016-01-25",3.53725,0.73,0.82,-7.684,0.576,0.126,0.588,170.004
"G-Unit",0,"rap","gangster rap","2008-01-01",3.71711666666667,0.624,0.721,-3.778,0.429,0.211,0.0874,96.048
"Al B. Sure!",51,"r&b","urban contemporary","1988-04-26",3.96688333333333,0.655,0.477,-9.616,0.0421,0.029,0.0518,92.097
"Calum Scott",42,"latin","tropical","2017-12-15",3.35305,0.653,0.834,-4.576,0.0414,0.0151,0.264,119.944
"Yo Gotti",68,"r&b","urban contemporary","2019-08-23",2.83593333333333,0.944,0.613,-5.999,0.291,0.00818,0.0893,120.102
"Adrian Lux",30,"edm","progressive electro house","2013-01-01",2.77066666666667,0.433,0.838,-4.369,0.0363,0.00284,0.136,128.064
"Lucas & Steve",1,"edm","electro house","2017-07-03",3.19048333333333,0.624,0.847,-5.462,0.034,0.0238,0.0674,125.997
"Gloria Estefan",43,"latin","latin pop","1989-07-06",4.81271666666667,0.694,0.467,-14.437,0.0329,0.639,0.0847,142.132
"Guy",0,"r&b","new jack swing","1990-01-01",4.39778333333333,0.767,0.742,-10.992,0.0819,0.00162,0.138,105.979
"Gary Clark Jr.",9,"r&b","neo soul","2015-09-04",4.73466666666667,0.639,0.749,-5.916,0.0468,0.0573,0.153,84.452
"Shaggy",47,"latin","latin hip hop","2017-02-17",3.23805,0.752,0.806,-3.834,0.124,0.185,0.0824,97.022
"Tom Misch",43,"pop","indie poptimism","2015-08-28",2.72716666666667,0.746,0.451,-9.065,0.146,0.181,0.0751,127.958
"Julian Era",47,"latin","tropical","2019-08-16",2.49153333333333,0.766,0.693,-5.361,0.0465,0.32,0.267,117.937
"Maroon 5",78,"edm","pop edm","2012-01-01",3.85288333333333,0.743,0.752,-4.813,0.0414,0.0188,0.287,110.015
"Gamora",32,"rap","gangster rap","2017-06-18",4.00068333333333,0.624,0.876,-6.298,0.456,0.29,0.282,147.924
"Mike Bahía",79,"latin","latin pop","2019-11-15",3.03075,0.736,0.585,-4.617,0.346,0.273,0.106,171.932
"Nicky Romero",0,"edm","progressive electro house","2012-01-02",6.09376666666667,0.76,0.91,-3.842,0.101,0.0338,0.218,128.001
"Niall Horan",77,"pop","post-teen pop","2017-10-20",3.13623333333333,0.735,0.425,-6.648,0.0466,0.011,0.055,85.894
"Sarah Jarosz",59,"r&b","hip pop","2017-07-19",4.68046666666667,0.77,0.335,-10.095,0.0634,0.641,0.168,127.905
"biosphere",42,"latin","tropical","2017-08-29",1.24718333333333,0.799,0.374,-13.475,0.154,0.713,0.108,89.023
"Crosby, Stills, Nash & Young",58,"rock","classic rock","1970-03-11",4.43221666666667,0.463,0.495,-12.203,0.041,0.059,0.271,118.505
"The Cardigans",17,"pop","post-teen pop","1996-09-17",3.23155,0.644,0.599,-7.936,0.029,0.0443,0.286,111.829
"Twenty One Pilots",79,"pop","electropop","2018-10-05",5.40778333333333,0.609,0.674,-7.388,0.0548,0.0735,0.345,90.009
"America",77,"rock","classic rock",NA,4.204,0.654,0.506,-17.18,0.0535,0.686,0.155,123.179
"Ellie Goulding",64,"pop","post-teen pop","2018-02-09",4.22533333333333,0.489,0.597,-6.633,0.0292,0.27,0.105,95.012
"BROCKHAMPTON",69,"r&b","urban contemporary","2017-06-09",4.43333333333333,0.808,0.647,-6.947,0.166,0.0716,0.205,110.036
"Alina Baraz",5,"pop","indie poptimism","2017-01-20",4.08823333333333,0.637,0.359,-9.841,0.0325,0.593,0.108,111.049
"Aventura",71,"latin","tropical","2009-06-09",3.97866666666667,0.812,0.506,-10.729,0.0533,0.143,0.132,125.941
"Borgore",55,"edm","big room","2014-04-28",4.625,0.676,0.885,-2.946,0.0658,0.00425,0.0519,128.04
"Electric Shore",24,"pop","electropop","2019-12-20",4.1155,0.453,0.668,-5.204,0.0345,0.0634,0.343,143.92
"Blasterjaxx",57,"edm","progressive electro house","2019-06-07",3.2,0.587,0.85,-3.904,0.0654,0.207,0.64,127.914
"Bad Dreams",5,"rock","album rock","2015-11-01",8.18593333333333,0.27,0.588,-7.938,0.0308,0.0588,0.133,130.476
"Jonas Aden",1,"edm","electro house","2016-03-23",2.90743333333333,0.662,0.831,-4.382,0.226,0.13,0.225,126.121
"Paul Simon",75,"rock","permanent wave","1986-08-12",4.66666666666667,0.776,0.763,-8.124,0.0535,0.182,0.077,128.433
"SLANDER",62,"edm","pop edm","2019-05-31",3.58666666666667,0.545,0.323,-12.006,0.0391,0.102,0.107,149.941
"Darell",80,"latin","reggaeton","2019-07-12",3.75903333333333,0.819,0.596,-7.009,0.318,0.225,0.138,165.951
"October Ends",38,"rock","hard rock","2018-10-05",3.12003333333333,0.242,0.849,-4.973,0.0899,0.000188,0.105,83.653
"FSK SATELLITE",76,"rap","trap","2019-12-05",2.475,0.823,0.678,-6.664,0.56,0.153,0.218,160.133
"EMMA WAHLIN",45,"r&b","hip pop","2019-02-06",3.15245,0.822,0.591,-6.615,0.0515,0.0133,0.114,124.015
"Kim Carnes",62,"pop","electropop","2007-01-01",3.74488333333333,0.659,0.541,-7.919,0.0272,0.0174,0.198,116.685
"KISS",10,"rock","hard rock","1975-03-19",2.81221666666667,0.656,0.931,-5.827,0.0976,0.046,0.0543,144.747
"Loreno Mayer",36,"edm","progressive electro house","2019-04-19",4.07063333333333,0.577,0.781,-4.236,0.0323,0.0353,0.397,128.067
"Vince Staples",1,"rap","hip hop","2017-05-18",3.30088333333333,0.893,0.551,-5.878,0.341,0.455,0.351,99.986
"Jeezy",0,"rap","southern hip hop","2005-01-01",4.00445,0.678,0.662,-6.379,0.172,0.0132,0.259,79.054
"Flora Martínez",44,"latin","tropical","2019-06-28",2.95003333333333,0.933,0.452,-9.049,0.0735,0.645,0.0795,123.04
"Starsailor",47,"rock","album rock","2003-09-15",3.84933333333333,0.53,0.782,-6.872,0.0259,0.0274,0.0688,93.105
"Eminem",11,"rap","southern hip hop","2005-12-06",4.85355,0.919,0.657,-2.823,0.0907,0.00293,0.356,112.23
"Peeet",0,"edm","progressive electro house","2007-06-25",5.64251666666667,0.739,0.908,-6.361,0.0786,0.004,0.729,129.944
"Choice",40,"rap","trap","2019-08-02",5.66153333333333,0.456,0.687,-6.059,0.188,0.0267,0.105,129.892
"Panama Wedding",0,"pop","indie poptimism","2015-11-06",3.45378333333333,0.637,0.678,-7.051,0.041,0.16,0.171,164.946
"Mac Miller",87,"rap","hip hop","2020-01-09",5.70066666666667,0.794,0.32,-12.92,0.173,0.853,0.112,174.088
"MarllDexx",3,"latin","latin hip hop","2012-12-01",5.90485,0.797,0.859,-5.25,0.0596,0.000359,0.12,126.001
"Drake",2,"rap","southern hip hop","2009-01-01",5.96533333333333,0.459,0.925,-1.327,0.35,0.248,0.174,104.855
"Jill Scott",34,"r&b","neo soul","2000-07-18",5.90666666666667,0.7,0.599,-8.763,0.164,0.0205,0.0562,171.951
"J Balvin",91,"pop","dance pop","2019-06-28",4.04288333333333,0.754,0.646,-5.795,0.317,0.152,0.108,176.089
"$uicideBoy$",65,"rap","gangster rap","2016-07-22",2.19166666666667,0.881,0.903,-0.955,0.0813,0.267,0.109,119.994
"DEAN FUJIOKA",36,"pop","dance pop","2019-12-11",3.50223333333333,0.621,0.614,-5.411,0.0539,0.0462,0.0452,200.012
"Famba",46,"pop","electropop","2018-10-19",3.02158333333333,0.487,0.778,-4.914,0.137,0.0763,0.0434,100.039
"Johnny Stranger",25,"rock","hard rock","2019-05-24",3.5006,0.548,0.888,-3.971,0.066,0.000786,0.109,140.028
"Daniel Johnson",8,"r&b","neo soul","2011-04-04",5.35905,0.453,0.431,-10.323,0.0315,0.373,0.0867,79.188
"Lewka",41,"pop","dance pop","2019-08-16",2.28913333333333,0.692,0.861,-4.864,0.0619,0.38,0.215,115.029
"Marlena Shaw",3,"r&b","neo soul","2014-06-17",5.03253333333333,0.706,0.453,-11.752,0.0292,0.0381,0.118,100.006
"Kharfi",36,"latin","tropical","2019-07-19",3.31136666666667,0.597,0.697,-5.508,0.0396,0.00195,0.222,110.071
"Ant Saunders",62,"r&b","hip pop","2019-06-18",3.72093333333333,0.866,0.399,-10.938,0.0745,0.117,0.0689,129.047
"Smash Mouth",79,"rock","permanent wave","1999-01-01",3.33955,0.731,0.867,-5.881,0.032,0.0395,0.0861,104.019
"Dennis Ferrer",8,"edm","progressive electro house","2015-06-15",8.45538333333333,0.669,0.891,-7.7,0.0685,0.0853,0.0408,125.965
"Billie Eilish",79,"r&b","urban contemporary","2017-12-22",3.82376666666667,0.427,0.123,-15.228,0.0497,0.868,0.0732,129.565
"Twin Shadow",34,"pop","electropop","2010-10-18",3.83333333333333,0.571,0.821,-6.715,0.0315,0.455,0.136,79.979
"Comethazine",54,"rap","gangster rap","2019-07-26",1.80923333333333,0.814,0.402,-10.296,0.728,0.0812,0.0844,159.941
"Bon Jovi",69,"rock","hard rock","1984-01-01",3.84445,0.475,0.899,-4.321,0.0637,0.00375,0.14,152.445
"Carlos Sadness",59,"latin","tropical","2018-02-23",3.57515,0.671,0.782,-5.034,0.0452,0.117,0.175,146.06
"BENEE",67,"pop","dance pop","2019-11-15",3.72466666666667,0.863,0.631,-4.689,0.0534,0.305,0.123,128.977
"Deep Chills",49,"latin","tropical","2019-03-29",2.72896666666667,0.818,0.575,-8.454,0.0457,0.392,0.118,107.041
"Elvis Crespo",50,"latin","latin pop",NA,3.76866666666667,0.777,0.892,-3.54,0.0303,0.186,0.0747,115.02
"Jonas Blue",67,"edm","electro house","2019-07-19",3.07636666666667,0.825,0.841,-6.433,0.135,0.0906,0.258,126.026
"Jelly Roll",35,"rap","southern hip hop","2018-11-16",2.50483333333333,0.576,0.748,-6.774,0.225,0.321,0.145,89.615
"Bassjackers",47,"edm","pop edm","2019-09-02",2.9,0.598,0.94,-3.037,0.0363,9.38e-05,0.114,140.032
"Tight Rhymes",41,"latin","latin pop","2019-11-22",3.1258,0.494,0.799,-5.118,0.311,0.191,0.11,86.037
"Jome",58,"pop","indie poptimism","2019-04-12",2.55293333333333,0.437,0.523,-7.664,0.0655,0.593,0.171,169.872
"Ice Cube",70,"rap","southern hip hop","1993-12-07",3.87955,0.747,0.52,-10.523,0.0357,0.0977,0.142,92.869
